City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,constantia,44.1833,28.65,10.39,74,100,3.92,RO,2023-12-03
79,tazovsky,67.4667,78.7,-28.04,93,6,5.49,RU,2023-12-03
80,tyazhinskiy,56.116,88.524,1.04,83,100,6.09,RU,2023-12-03
81,iskateley,67.6803,53.1512,-12.77,94,100,4.92,RU,2023-12-03
82,whitehorse,60.7161,-135.0538,-10.57,92,100,2.57,CA,2023-12-03
83,tofol,5.3248,163.0078,27.88,83,100,2.57,FM,2023-12-03
84,arris,35.2588,6.3471,4.97,84,98,3.12,DZ,2023-12-03
85,westport,41.1415,-73.3579,10.05,97,100,1.54,US,2023-12-03
86,ketchikan,55.3422,-131.6461,5.99,87,100,4.63,US,2023-12-03
87,udachny,66.4167,112.4,-41.13,100,96,1.18,RU,2023-12-03
88,cedeira,43.6797,-8.0209,9.33,76,75,7.81,ES,2023-12-03
89,ouadda,8.0777,22.4007,24.01,61,79,1.44,CF,2023-12-03
90,narasannapeta,18.4167,84.05,28.26,50,94,8.33,IN,2023-12-03
91,toropets,56.4978,31.6353,-11.78,95,100,2.4,RU,2023-12-03
92,lihue,21.9789,-159.3672,23.77,88,20,3.09,US,2023-12-03
93,camana,-16.6228,-72.7111,18.95,84,46,3.42,PE,2023-12-03
94,wailua homesteads,22.0669,-159.378,23.44,90,20,3.09,US,2023-12-03
95,taytay,14.5678,121.1394,29.47,80,75,3.09,PH,2023-12-03
96,stassfurt,51.8396,11.58,-1.7,96,89,1.85,DE,2023-12-03
97,susuman,62.7833,148.1667,-39.64,100,96,0.41,RU,2023-12-03
98,rongelap,11.1635,166.8941,27.57,74,100,9.1,MH,2023-12-03
99,adrar,20.5022,-10.0711,17.95,45,23,3.76,MR,2023-12-03
100,howard springs,-12.497,131.047,31.04,81,100,0.32,AU,2023-12-03
101,wuyang,31.9925,116.2472,13.3,24,68,1.78,CN,2023-12-03
102,port alfred,-33.5906,26.891,20.1,95,100,0.45,ZA,2023-12-03
103,inderbor,48.55,51.7833,2.23,65,100,3.0,KZ,2023-12-03
104,badger,64.8,-147.5333,-22.07,81,0,0.0,US,2023-12-03
105,anadyr,64.75,177.4833,-19.72,83,20,3.0,RU,2023-12-03
106,acarau,-2.8856,-40.12,26.93,75,14,5.71,BR,2023-12-03
107,ginir,7.1333,40.7,17.61,35,22,2.77,ET,2023-12-03
108,punta arenas,-53.15,-70.9167,5.06,65,75,5.14,CL,2023-12-03
109,zonguldak,41.25,31.8333,10.42,67,97,2.8,TR,2023-12-03
110,karratha,-20.7377,116.8463,30.02,57,0,7.47,AU,2023-12-03
111,qarazhal,48.0078,70.7903,3.05,86,100,12.31,KZ,2023-12-03
112,shchuchyn,53.6014,24.7465,-4.34,95,100,4.14,BY,2023-12-03
113,papatowai,-46.5619,169.4708,11.23,54,4,4.85,NZ,2023-12-03
114,keflavik,64.0049,-22.5624,-2.76,80,0,2.57,IS,2023-12-03
115,castletown,53.0281,-9.0686,2.27,97,100,2.4,IE,2023-12-03
116,awjilah,29.1081,21.2869,15.39,50,100,5.03,LY,2023-12-03
117,tiksi,71.6872,128.8694,-25.03,99,100,4.86,RU,2023-12-03
118,invercargill,-46.4,168.35,11.61,52,2,4.33,NZ,2023-12-03
119,alexandria,31.2156,29.9553,16.3,71,68,4.43,EG,2023-12-03
120,fort irwin,35.2627,-116.6848,5.9,56,0,0.0,US,2023-12-03
121,yaren,-0.5472,166.916,28.45,72,67,1.94,NR,2023-12-03
122,mujiayingzi,42.1167,118.7833,5.17,25,23,4.67,CN,2023-12-03
123,taroa,8.7058,171.2275,27.83,75,82,7.77,MH,2023-12-03
124,wuhu,31.3366,118.3755,13.27,21,89,2.48,CN,2023-12-03
125,mandera,3.9366,41.867,29.32,45,48,5.27,KE,2023-12-03
126,alofi,-19.0595,-169.9187,26.94,78,34,7.95,NU,2023-12-03
127,walvis bay,-22.9575,14.5053,17.83,82,0,1.03,NA,2023-12-03
128,nabire,-3.3667,135.4833,30.12,67,47,2.59,ID,2023-12-03
129,juneau,58.3019,-134.4197,-0.33,93,75,1.54,US,2023-12-03
130,nagqu,31.5,92.0,-1.6,19,24,4.81,CN,2023-12-03
131,sylvan lake,52.3168,-114.0853,-3.24,68,75,3.09,CA,2023-12-03
132,kodiak,57.79,-152.4072,5.73,81,100,8.23,US,2023-12-03
133,thief river falls,48.1191,-96.1812,-1.47,86,0,5.14,US,2023-12-03
134,bredasdorp,-34.5322,20.0403,18.17,59,90,4.6,ZA,2023-12-03
135,ujae,8.9322,165.7642,27.95,76,80,8.4,MH,2023-12-03
136,malango,-2.9627,119.9001,26.33,78,62,1.39,ID,2023-12-03
